uri,text
https://boris.unibe.ch/id/eprint/3761,"Klein Cardoso, Silas"
https://boris.unibe.ch/id/eprint/171079,"Schroer, Silvia Maria"
https://boris.unibe.ch/id/eprint/10899,"Schliesser, Benjamin"
https://boris.unibe.ch/id/eprint/28805,"Schliesser, Benjamin"
https://boris.unibe.ch/id/eprint/113465,"Schroer, Silvia Maria"
https://boris.unibe.ch/id/eprint/102177,"Klein Cardoso, Silas"
https://boris.unibe.ch/id/eprint/48917,"Schliesser, Benjamin"
https://boris.unibe.ch/id/eprint/30027,"Schliesser, Benjamin"
https://boris.unibe.ch/id/eprint/25175,"Schliesser, Benjamin"
https://boris.unibe.ch/id/eprint/28972,"Schliesser, Benjamin"
https://boris.unibe.ch/id/eprint/86209,"Hirsch-Luipold, Rainer"
https://boris.unibe.ch/id/eprint/102271,"Klein Cardoso, Silas"
https://boris.unibe.ch/id/eprint/86229,"Hirsch-Luipold, Rainer"
https://boris.unibe.ch/id/eprint/25176,"Schliesser, Benjamin"
https://boris.unibe.ch/id/eprint/123297,"Hirsch-Luipold, Rainer"
https://boris.unibe.ch/id/eprint/37406,"Klein Cardoso, Silas"
https://boris.unibe.ch/id/eprint/180652,"Hirsch-Luipold, Rainer"
https://boris.unibe.ch/id/eprint/63660,"Schliesser, Benjamin"
https://boris.unibe.ch/id/eprint/36691,"Klein Cardoso, Silas"
https://boris.unibe.ch/id/eprint/48616,"Hirsch-Luipold, Rainer"
https://boris.unibe.ch/id/eprint/132264,"Schroer, Silvia Maria"
https://boris.unibe.ch/id/eprint/36677,"Klein Cardoso, Silas"
https://boris.unibe.ch/id/eprint/49230,"Schliesser, Benjamin"
https://boris.unibe.ch/id/eprint/129135,"Hirsch-Luipold, Rainer"
https://boris.unibe.ch/id/eprint/74908,"Schliesser, Benjamin"
https://boris.unibe.ch/id/eprint/102179,"Klein Cardoso, Silas"
https://boris.unibe.ch/id/eprint/172058,"Rahn, Nancy"
https://boris.unibe.ch/id/eprint/167846,"Wagner, Andreas"
https://boris.unibe.ch/id/eprint/140342,"Wagner, Andreas"
https://boris.unibe.ch/id/eprint/140344,"Wagner, Andreas"
https://boris.unibe.ch/id/eprint/19551,"Schliesser, Benjamin"
https://boris.unibe.ch/id/eprint/173803,"Rahn, Nancy"
https://boris.unibe.ch/id/eprint/154876,"Wagner, Andreas"
https://boris.unibe.ch/id/eprint/2907,"Klein Cardoso, Silas"
https://boris.unibe.ch/id/eprint/19554,"Schliesser, Benjamin"
https://boris.unibe.ch/id/eprint/129468,"Hirsch-Luipold, Rainer"
https://boris.unibe.ch/id/eprint/147552,"Hirsch-Luipold, Rainer"
https://boris.unibe.ch/id/eprint/102228,"Klein Cardoso, Silas"
https://boris.unibe.ch/id/eprint/10852,"Hirsch-Luipold, Rainer"
https://boris.unibe.ch/id/eprint/168718,"Schliesser, Benjamin"
https://boris.unibe.ch/id/eprint/102273,"Klein Cardoso, Silas"
https://boris.unibe.ch/id/eprint/173805,"Rahn, Nancy"
https://boris.unibe.ch/id/eprint/10856,"Hirsch-Luipold, Rainer"
https://boris.unibe.ch/id/eprint/110117,"Schliesser, Benjamin"
https://boris.unibe.ch/id/eprint/102164,"Klein Cardoso, Silas"
https://boris.unibe.ch/id/eprint/140337,"Schliesser, Benjamin"
https://boris.unibe.ch/id/eprint/113462,"Schroer, Silvia Maria"
https://boris.unibe.ch/id/eprint/113466,"Schroer, Silvia Maria"
https://boris.unibe.ch/id/eprint/98955,"Hirsch-Luipold, Rainer"
https://boris.unibe.ch/id/eprint/102213,"Klein Cardoso, Silas"
https://boris.unibe.ch/id/eprint/136495,"Hirsch-Luipold, Rainer"
https://boris.unibe.ch/id/eprint/129778,"Schliesser, Benjamin"
https://boris.unibe.ch/id/eprint/83748,"Hirsch-Luipold, Rainer"
https://boris.unibe.ch/id/eprint/140345,"Wagner, Andreas"
https://boris.unibe.ch/id/eprint/167837,"Schliesser, Benjamin"
https://boris.unibe.ch/id/eprint/129777,"Schliesser, Benjamin"
https://boris.unibe.ch/id/eprint/63661,"Schliesser, Benjamin"
https://boris.unibe.ch/id/eprint/172081,"Rahn, Nancy"
https://boris.unibe.ch/id/eprint/90627,"Hirsch-Luipold, Rainer"
https://boris.unibe.ch/id/eprint/102204,"Klein Cardoso, Silas"
https://boris.unibe.ch/id/eprint/141502,"Hirsch-Luipold, Rainer"
https://boris.unibe.ch/id/eprint/172082,"Rahn, Nancy"
https://boris.unibe.ch/id/eprint/102195,"Klein Cardoso, Silas"
https://boris.unibe.ch/id/eprint/132266,"Schroer, Silvia Maria"
https://boris.unibe.ch/id/eprint/102193,"Klein Cardoso, Silas"
https://boris.unibe.ch/id/eprint/132267,"Schroer, Silvia Maria"
https://boris.unibe.ch/id/eprint/2915,"Schliesser, Benjamin"
https://boris.unibe.ch/id/eprint/155474,"Schroer, Silvia Maria"
https://boris.unibe.ch/id/eprint/36687,"Klein Cardoso, Silas"
https://boris.unibe.ch/id/eprint/36690,"Klein Cardoso, Silas"
https://boris.unibe.ch/id/eprint/86211,"Hirsch-Luipold, Rainer"
https://boris.unibe.ch/id/eprint/98610,"Schroer, Silvia Maria"
https://boris.unibe.ch/id/eprint/32808,"Schliesser, Benjamin"
https://boris.unibe.ch/id/eprint/123293,"Hirsch-Luipold, Rainer"
https://boris.unibe.ch/id/eprint/28787,"Schliesser, Benjamin"
https://boris.unibe.ch/id/eprint/182316,"Hirsch-Luipold, Rainer"
https://boris.unibe.ch/id/eprint/171081,"Schroer, Silvia Maria"
https://boris.unibe.ch/id/eprint/10902,"Schliesser, Benjamin"
https://boris.unibe.ch/id/eprint/172083,"Rahn, Nancy"
https://boris.unibe.ch/id/eprint/15903,"Hirsch-Luipold, Rainer"
https://boris.unibe.ch/id/eprint/129461,"Hirsch-Luipold, Rainer"
https://boris.unibe.ch/id/eprint/59629,"Klein Cardoso, Silas"
https://boris.unibe.ch/id/eprint/67645,"Hirsch-Luipold, Rainer"
https://boris.unibe.ch/id/eprint/36679,"Klein Cardoso, Silas"
https://boris.unibe.ch/id/eprint/102216,"Klein Cardoso, Silas"
https://boris.unibe.ch/id/eprint/36684,"Klein Cardoso, Silas"
https://boris.unibe.ch/id/eprint/102215,"Klein Cardoso, Silas"
https://boris.unibe.ch/id/eprint/160232,"Schliesser, Benjamin"
https://boris.unibe.ch/id/eprint/102223,"Klein Cardoso, Silas"
https://boris.unibe.ch/id/eprint/16744,"Schliesser, Benjamin"
https://boris.unibe.ch/id/eprint/129140,"Hirsch-Luipold, Rainer"
https://boris.unibe.ch/id/eprint/2914,"Schliesser, Benjamin"
https://boris.unibe.ch/id/eprint/102208,"Klein Cardoso, Silas"
https://boris.unibe.ch/id/eprint/173950,"Rahn, Nancy"
https://boris.unibe.ch/id/eprint/94307,"Schliesser, Benjamin"
https://boris.unibe.ch/id/eprint/63659,"Schliesser, Benjamin"
https://boris.unibe.ch/id/eprint/32866,"Schliesser, Benjamin"
https://boris.unibe.ch/id/eprint/155472,"Schroer, Silvia Maria"
https://boris.unibe.ch/id/eprint/140338,"Schliesser, Benjamin"
https://boris.unibe.ch/id/eprint/116703,"Hirsch-Luipold, Rainer"
https://boris.unibe.ch/id/eprint/171083,"Schroer, Silvia Maria"
https://boris.unibe.ch/id/eprint/36686,"Klein Cardoso, Silas"
https://boris.unibe.ch/id/eprint/37403,"Klein Cardoso, Silas"
https://boris.unibe.ch/id/eprint/110119,"Schliesser, Benjamin"
https://boris.unibe.ch/id/eprint/173947,"Rahn, Nancy"
https://boris.unibe.ch/id/eprint/102249,"Klein Cardoso, Silas"
https://boris.unibe.ch/id/eprint/49483,"Schliesser, Benjamin"
https://boris.unibe.ch/id/eprint/124625,"Schroer, Silvia Maria"
https://boris.unibe.ch/id/eprint/129781,"Schliesser, Benjamin"
https://boris.unibe.ch/id/eprint/10903,"Schliesser, Benjamin"
https://boris.unibe.ch/id/eprint/102224,"Klein Cardoso, Silas"
https://boris.unibe.ch/id/eprint/10853,"Hirsch-Luipold, Rainer"
https://boris.unibe.ch/id/eprint/155473,"Schroer, Silvia Maria"
https://boris.unibe.ch/id/eprint/75292,"Schliesser, Benjamin"
https://boris.unibe.ch/id/eprint/140349,"Wagner, Andreas"
https://boris.unibe.ch/id/eprint/10880,"Klein Cardoso, Silas"
https://boris.unibe.ch/id/eprint/86212,"Hirsch-Luipold, Rainer"
https://boris.unibe.ch/id/eprint/16745,"Schliesser, Benjamin"
https://boris.unibe.ch/id/eprint/129465,"Hirsch-Luipold, Rainer"
https://boris.unibe.ch/id/eprint/19549,"Schliesser, Benjamin"
https://boris.unibe.ch/id/eprint/102180,"Klein Cardoso, Silas"
https://boris.unibe.ch/id/eprint/16747,"Schliesser, Benjamin"
https://boris.unibe.ch/id/eprint/102275,"Klein Cardoso, Silas"
https://boris.unibe.ch/id/eprint/75290,"Schliesser, Benjamin"
https://boris.unibe.ch/id/eprint/102160,"Klein Cardoso, Silas"
https://boris.unibe.ch/id/eprint/113461,"Schroer, Silvia Maria"
https://boris.unibe.ch/id/eprint/102171,"Klein Cardoso, Silas"
https://boris.unibe.ch/id/eprint/172085,"Rahn, Nancy"
https://boris.unibe.ch/id/eprint/102214,"Klein Cardoso, Silas"
https://boris.unibe.ch/id/eprint/129132,"Hirsch-Luipold, Rainer"
https://boris.unibe.ch/id/eprint/129464,"Hirsch-Luipold, Rainer"
https://boris.unibe.ch/id/eprint/102209,"Klein Cardoso, Silas"
https://boris.unibe.ch/id/eprint/102254,"Klein Cardoso, Silas"
https://boris.unibe.ch/id/eprint/36688,"Klein Cardoso, Silas"
https://boris.unibe.ch/id/eprint/13536,"Hirsch-Luipold, Rainer"
https://boris.unibe.ch/id/eprint/129775,"Schliesser, Benjamin"
https://boris.unibe.ch/id/eprint/183488,"Hirsch-Luipold, Rainer"
https://boris.unibe.ch/id/eprint/171078,"Schroer, Silvia Maria"
https://boris.unibe.ch/id/eprint/3760,"Klein Cardoso, Silas"
https://boris.unibe.ch/id/eprint/102282,"Klein Cardoso, Silas"
https://boris.unibe.ch/id/eprint/102218,"Klein Cardoso, Silas"
https://boris.unibe.ch/id/eprint/49451,"Hirsch-Luipold, Rainer"
https://boris.unibe.ch/id/eprint/32864,"Schliesser, Benjamin"
https://boris.unibe.ch/id/eprint/147561,"Hirsch-Luipold, Rainer"
https://boris.unibe.ch/id/eprint/98777,"Schliesser, Benjamin"
https://boris.unibe.ch/id/eprint/113781,"Schliesser, Benjamin"
https://boris.unibe.ch/id/eprint/173819,"Rahn, Nancy"
https://boris.unibe.ch/id/eprint/123294,"Hirsch-Luipold, Rainer"
https://boris.unibe.ch/id/eprint/124606,"Schroer, Silvia Maria"
https://boris.unibe.ch/id/eprint/102197,"Klein Cardoso, Silas"
https://boris.unibe.ch/id/eprint/102203,"Klein Cardoso, Silas"
https://boris.unibe.ch/id/eprint/74907,"Schliesser, Benjamin"
https://boris.unibe.ch/id/eprint/113464,"Schroer, Silvia Maria"
https://boris.unibe.ch/id/eprint/102278,"Klein Cardoso, Silas"
https://boris.unibe.ch/id/eprint/102184,"Klein Cardoso, Silas"
https://boris.unibe.ch/id/eprint/102229,"Klein Cardoso, Silas"
https://boris.unibe.ch/id/eprint/173799,"Rahn, Nancy"
https://boris.unibe.ch/id/eprint/15904,"Hirsch-Luipold, Rainer"
https://boris.unibe.ch/id/eprint/36682,"Klein Cardoso, Silas"
https://boris.unibe.ch/id/eprint/167593,"Schliesser, Benjamin"
https://boris.unibe.ch/id/eprint/181343,"Schliesser, Benjamin"
https://boris.unibe.ch/id/eprint/102261,"Klein Cardoso, Silas"
https://boris.unibe.ch/id/eprint/155520,"Hirsch-Luipold, Rainer"
https://boris.unibe.ch/id/eprint/15075,"Klein Cardoso, Silas"
https://boris.unibe.ch/id/eprint/129139,"Hirsch-Luipold, Rainer"
https://boris.unibe.ch/id/eprint/36680,"Klein Cardoso, Silas"
https://boris.unibe.ch/id/eprint/19550,"Schliesser, Benjamin"
https://boris.unibe.ch/id/eprint/154872,"Schliesser, Benjamin"
https://boris.unibe.ch/id/eprint/171281,"Hirsch-Luipold, Rainer"
https://boris.unibe.ch/id/eprint/16803,"Klein Cardoso, Silas"
https://boris.unibe.ch/id/eprint/154875,"Wagner, Andreas"
https://boris.unibe.ch/id/eprint/34952,"Schliesser, Benjamin"
https://boris.unibe.ch/id/eprint/110116,"Schliesser, Benjamin"
https://boris.unibe.ch/id/eprint/98772,"Schliesser, Benjamin"
https://boris.unibe.ch/id/eprint/140340,"Schliesser, Benjamin"
https://boris.unibe.ch/id/eprint/154870,"Schliesser, Benjamin"
https://boris.unibe.ch/id/eprint/132269,"Schroer, Silvia Maria"
https://boris.unibe.ch/id/eprint/49464,"Hirsch-Luipold, Rainer"
https://boris.unibe.ch/id/eprint/179319,"Rahn, Nancy"
https://boris.unibe.ch/id/eprint/16873,"Hirsch-Luipold, Rainer"
https://boris.unibe.ch/id/eprint/155482,"Schroer, Silvia Maria"
https://boris.unibe.ch/id/eprint/63662,"Schliesser, Benjamin"
https://boris.unibe.ch/id/eprint/171082,"Schroer, Silvia Maria"
https://boris.unibe.ch/id/eprint/102187,"Klein Cardoso, Silas"
https://boris.unibe.ch/id/eprint/102217,"Klein Cardoso, Silas"
https://boris.unibe.ch/id/eprint/102186,"Klein Cardoso, Silas"
https://boris.unibe.ch/id/eprint/155530,"Hirsch-Luipold, Rainer"
https://boris.unibe.ch/id/eprint/37408,"Klein Cardoso, Silas"
https://boris.unibe.ch/id/eprint/102206,"Klein Cardoso, Silas"
https://boris.unibe.ch/id/eprint/30028,"Schliesser, Benjamin"
https://boris.unibe.ch/id/eprint/102274,"Klein Cardoso, Silas"
https://boris.unibe.ch/id/eprint/102272,"Klein Cardoso, Silas"
https://boris.unibe.ch/id/eprint/58616,"Hirsch-Luipold, Rainer"
https://boris.unibe.ch/id/eprint/10883,"Klein Cardoso, Silas"
https://boris.unibe.ch/id/eprint/120358,"Schliesser, Benjamin"
https://boris.unibe.ch/id/eprint/19552,"Schliesser, Benjamin"
https://boris.unibe.ch/id/eprint/47532,"Schliesser, Benjamin"
https://boris.unibe.ch/id/eprint/102176,"Klein Cardoso, Silas"
https://boris.unibe.ch/id/eprint/102246,"Klein Cardoso, Silas"
https://boris.unibe.ch/id/eprint/171080,"Schroer, Silvia Maria"
https://boris.unibe.ch/id/eprint/102247,"Klein Cardoso, Silas"
https://boris.unibe.ch/id/eprint/102250,"Klein Cardoso, Silas"
https://boris.unibe.ch/id/eprint/67654,"Hirsch-Luipold, Rainer"
https://boris.unibe.ch/id/eprint/129131,"Hirsch-Luipold, Rainer"
https://boris.unibe.ch/id/eprint/102258,"Klein Cardoso, Silas"
https://boris.unibe.ch/id/eprint/28970,"Schliesser, Benjamin"
https://boris.unibe.ch/id/eprint/15905,"Hirsch-Luipold, Rainer"
